,Dyad,Session,Time_begin,P1,P2,SD,QE,SV,PR,HD,a,sca,b,scb,c,scc,d,scd,e,sce
12112,5,1,00:19:33.400000,,right so plus because pause filler we're just doing the opposite on the other side,,,,,x,right so plus ,90,so I got that in mind now,86.0,let's see how we would oh wait so we would,86.0,add nine to the negative nine and forty-one,86.0,I can't draw on this,86.0
224,10,1,00:13:50.300000,well it doesn't have to be perfect just,,,,x,,,well it doesn't have to be perfect just it has to have the answer,90,I got it too,86.0,and that the same thing is,45.0,because you're trying to find the k,44.0,like what plus eleven would equal seventeen,44.0
190,10,1,00:11:34.100000,so I'm guessing I'll do achy nose achy nose ah (laughter) so just that like minus eight to each side I think,,,,x,,,so I'm guessing I'll do achy nose achy nose ah ,90,so then you can like double check it by nineteen minus six equals,86.0,so let's see if I can do that while messing out,86.0,yeah I'm trying to get down good,86.0,I am not good at this,86.0
155,10,1,00:09:47.600000,,so just do your best,,,x,,,it's okay I already kind of understand this so just do your best,90,pause filler just don't push the button,86.0,okay like the opposite operation all right should I do this,86.0,plus six so that would mean x equal to,86.0,yup,60.0
11174,4,1,00:35:53.600000,and it's just a routine now which is sort of bad but sort of funny,,,,,,x,like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny,90,and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave,86.0,and it's crazy,86.0,yeah my history teacher she'll start talking about the lesson,43.0,my one friend at she goes to Hampton,40.0
154,10,1,00:09:45.300000,,I already kind of understand this,,,x,,,it's okay I already kind of understand this so just do your best,90,that's all I was told,86.0,okay I'm ready,86.0,okay like the opposite operation all right should I do this,86.0,or should you do this,86.0
12320,5,1,00:31:54.900000,pause filler negative pixel,,x,,,,,pause filler negative pixel,90,so and it's N-E-G-A-T-I-V-E P-I-C-K-S-A-L,51.0,yeah,45.0,and it's not the way you'd think it be spelled,45.0,I have a YouTube channel,43.0
153,10,1,00:09:44.700000,,it's okay,,,x,,,it's okay I already kind of understand this so just do your best,90,okay,90.0,yup I see it same place you are,86.0,that's all I was told,86.0,okay I'm ready,86.0
148,10,1,00:09:35.100000,yeah (laughter),,,,x,,,yeah (laughter),90,here we go (laughter),45.0,don't press anything,45.0,just solve the problem (laughter),45.0,so I have no idea how to explain this (laughter),45.0
50,10,1,00:03:23.600000,,I always like joke around about it because you know like Ms. Frizzle from like the Magic School Bus or whatever,x,,,,,yeah pause filler right now I have Ms. Domingo and Ms. Frizzle which is really funny because Ms. Frizzle I always like joke around about it because you know like Ms. Frizzle from like the Magic School Bus or whatever,90,but I know it's like really really brighter like,86.0,okay yeah I don't think I have any Darbys in any of my classes,86.0,seventh yeah so we could have made in the same class but,86.0,Kinsley nope I don't,86.0
17,10,1,00:01:53.800000,,exactly because before that I was home schooled,x,,,,,exactly because before that I was home schooled so it's like it's not exactly cyber school but its still similar,90,I know right,86.0,I know that by now,86.0,pause filler two years I think,86.0,and before that I did another cyber school that wasn't as good (laughter),86.0
7,10,1,00:01:29.000000,,pause filler two years I think,x,,,,,pause filler two years I think,90,because I'm on page two right now,86.0,I'm like I'm in cyber school I know that,86.0,and before that I did another cyber school that wasn't as good (laughter),86.0,yeah but then I'm actually pause filler switching schools to like a private school next year,86.0
13383,5,2,00:42:32.300000,so I'm also that kid so pause filler,,,,x,,,so I'm also that kid so pause filler,90,ah so I get who the kind of person you are now,86.0,so I'm just going to finish the rest of this problem,86.0,and I'm just going to talk and make sure I kind of get it right all right,86.0,so basically there's this one kid in our class,86.0
13390,5,2,00:43:04.300000,I'm like Daniel I don't think you understand pause filler how one kid who just talked about a kid's white shoes just pause filler who create a meme somehow,,,,x,,,I'm like Daniel I don't think you understand ,90,and he's sort of my friend,86.0,but he's really not,86.0,and basically yeah I'm the kid who could be making friends with pretty much anyone,86.0,so I'm also that kid so pause filler,86.0
13434,5,2,00:45:22.300000,(laughter) beautiful,,,,x,x,,(laughter) beautiful,90,uh-oh this is the part where you start hiccupping,40.0,all right now that isn't right pause filler,40.0,well good thing I didn't eat mine as fast as you did,38.0,all right fifty-four,34.0
13615,5,2,00:53:24.400000,one hundred and thirty-seven pause filler equals oh god my brain is like melting now,,,,x,,,one hundred and thirty-seven ,90,all right and then five,86.0,oh yeah there's an x there,86.0,pause filler equals oh god my brain is like melting now,83.0,oh,57.0
13683,5,2,00:56:45.500000,(laughter) they're catchy,,,,x,,,(laughter) they're catchy,90,I see what we're doing,86.0,yeah Attack on Titan has a really catchy one,86.0,and then like you're just watching like,86.0,oh yeah not to mention the only thing I really like about Japanese cartoons is like the opening theme songs,45.0
13700,5,2,00:57:34.600000,but that's really it (laughter),,,,x,,,but that's really it (laughter),90,yeah Attack on Titan has a really catchy one,86.0,I had to be I mean I had to be honest like really,86.0,yeah (sfx) it sounds like fricking like Naruto at first,86.0,there's fricking giant naked people fighting each other for god's sakes,86.0
13775,6,1,00:02:27.300000,because then I have a calculator (inaudible) person,,x,,,,,because then I have a calculator ,90,(inaudible) person,90.0,and I was just sat on my phone,86.0,and then they took it,86.0,no they left me,51.0
13889,6,1,00:11:35.600000,that would be pause filler,,,,,,x,pause filler that would be four and,90,that would be pause filler,90.0,oh it's going to be a fraction,86.0,that�s probably oh over there okay,86.0,why does it keep doing that,86.0
13928,6,1,00:13:33.700000,right they're actually twenty problems (sfx) oh my god just x me out,,,,,,x,right they're actually twenty problems,90,(sfx) oh my god just x me out,90.0,and then you're going to get a fraction yes,86.0,and then you would subtract eight k right,86.0,right,60.0
14159,6,1,00:29:17.100000,because I'm really hungry,,x,,,,,but I'm going to eat them because i'm really hungry,90,(inaudible) I ate lunch at ike eleven forty-five,86.0,eww it tastes like not like gross I don�t know when you're like five,86.0,yeah it's not exactly letting me write there easily,40.0,these ones actually aren't that disgusting (inaudible) hopefully,40.0
17611,8,2,00:19:51.600000,,you just multiply negative eighty-six by seven divided by thirteen,,,,,x,divided by thirteen,90,it's six,57.0,,0.0,,0.0,,0.0
269,10,1,00:16:01.400000,zero where is the calculator (laughter),,,,x,,,zero,90,zero equals,86.0,where is the calculator (laughter),86.0,so they're coming,45.0,I know this is hard,43.0
270,10,1,00:16:05.800000,,I don't know,,,x,,,I don't know wait there's a bunch of other tools,90,pause filler I don't know (inaudible) I'm pretty sure they want us to do it on the screen,90.0,like I'm good with concepts,86.0,but like computation I'm slow at it,86.0,but we weren't told what those are,86.0
12266,5,1,00:27:55.400000,so I guess that's why they use this so (inaudible) yeah so,,,,,,x,so I guess that's why they use this so,90,but I am really good at using it,86.0,that is terrifying,86.0,alright so,86.0,this one is a bit easier I guess,86.0
311,10,1,00:18:30.700000,I wish calculator up (laughter),,,,x,,,I wish calculator up (laughter),90,so am I,86.0,cool I might need over here a little bit but that's just because I'm looking at those,86.0,so yeah like do you think what I have is like twelve y twelve y equals twenty-four so,86.0,and I'm just going twelve over twelve,86.0
11852,5,1,00:03:46.300000,,pause filler I'm okay,x,,,,,pause filler I'm okay,90,yeah it's like if reward is involved I will do it,86.0,well all the money I earn I'm in debt to my parents,86.0,and I'll still have some money in the future I guess,86.0,surprisingly I have a b in the class which I did not think I have,57.0
518,10,1,00:31:33.800000,,do you usually like wear glasses,,x,,,,do you usually like wear glasses because that makes no sense,90,yeah it's not like something major like going partially blind or something,86.0,it's not like something major like going partially blind or something so I wouldn't be worried about it,86.0,oh no it fell,41.0,huh that's weird,40.0
512,10,1,00:31:10.500000,thirty-second rule (laughter) I don't know why my eye keep twitching,,x,,,,,I don't know,90,thirty-second rule ,90.0,I don't know why my eye keep twitching,90.0,I don't know,90.0,my bangs are long,86.0
11211,4,1,00:39:00.400000,,yeah,,,x,,,yeah yeah I I see,90,yeah the pen's a little weird to use,60.0,so uh do you need any help solving this or do you think you know what you are doing,30.0,if you do anything wrong I will just tell you,30.0,I had one math teacher who was just pause filler crazy,30.0
11218,4,1,00:39:14.700000,yeah it's really it's really weird,,,,x,,,it's really weird,90,yeah it's really it's really weird my math teacher is a nut job,90.0,instead of subtracting my teacher yells at us to do it so,86.0,that's easy,86.0,wow this is really weird,70.0
11219,4,1,00:39:16.800000,my math teacher is a nut job,,,,x,,,yeah it's really it's really weird my math teacher is a nut job,90,instead of subtracting my teacher yells at us to do it so,86.0,I add the opposite,40.0,that's easy,40.0,what (laughs),38.0
11306,4,1,00:55:35.700000,this is really weird,,,,x,,,this is really weird I hear music outside of my room,90,I'm moving this p over here,43.0,I'm moving this one to here,38.0,so plus negative p (inaudible) one eighty-two plus negative two p equals forty,38.0,okay negative two p,34.0
11307,4,1,00:55:37.800000,I hear music outside of my room,,,,x,,,this is really weird I hear music outside of my room,90,I'm moving this one to here,52.0,I'm moving this p over here,46.0,okay negative two p,36.0,so plus negative p (inaudible) one eighty-two plus negative two p equals forty,35.0
387,10,1,00:23:47.200000,pause filler you because you're a lot better at this (laughter),,,,,x,,pause filler you because you're a lot better at this (laughter),90,I'm looking at them,86.0,I guess when you kind of divide because you're doing thirteen p which is thirteen times p,86.0,you're a lot better at writing,81.0,I think,56.0
11898,5,1,00:06:33.000000,,pause filler I was,x,,,,,I was going to her house,90,pause filler I was,90.0,and I saw her computer,86.0,I don't know how she does it,86.0,yeah we have like one kid I know she has I think like a ninety-eight in every class,57.0
277,10,1,00:16:24.200000,,I don't know,,,x,,,I don't know wait there's a bunch of other tools,90,pause filler I don't know (inaudible) I'm pretty sure they want us to do it on the screen,90.0,but we weren't told what those are,86.0,so I'm guessing we're not supposed to use this,86.0,ya I will think on it too,86.0
15266,6,2,00:54:52.000000,I never got points which kind of lead up to detention,,,,x,,x,but I got points which kind of lead up to detention,91,or I'm giving you detention,86.0,I would get yelled at,86.0,I've never actually got detention,86.0,like I haven't gotten detention,86.0
13767,6,1,00:02:05.100000,,so I was like that they forget about me,x,,,,,so I was like did they forget about me,91,yeah they took my phone,86.0,yeah they're like go yeah sorry,55.0,yeah they just left me for twenty minutes,54.0,I had no idea where anyone was,47.0
14656,6,2,00:09:32.100000,I hate that I have to put my face on the screen the whole time,,,,x,,,oh right I have to put my face on the screen the whole time,91,thirty-seven or something like that,86.0,(inaudible) I'm so tired,86.0,I don't like that they took my phone,86.0,negative two thirds y that is eighteen it's fifty-two,49.0
14836,6,2,00:31:18.300000,does it make they like not want us to see each other because we get tutored or something,,,,,,x,"do they make, do they like not want us to see each other before we get tutored or something",91,I can't chew them because of my stupid braces,86.0,and I can't like eat (inaudible),86.0,but now you get to tutor me cuz I'm stupid,86.0,it's okay we only have half an hour left I think,86.0
14165,6,1,00:29:44.900000,eww it tastes like gross I donÀ_t know when you're like five,,x,,,,,eww it tastes like not like gross I don�t know when you're like five,92,did you get Skittles too,86.0,I don�t even like Skittles,86.0,and I didn't hear any (inaudible),86.0,so I'm just like (sfx),86.0
14861,6,2,00:32:57.200000,no we have one like (inaudible) so like this is our first year we've had like a ton of field trips in like secondary,,x,,,,,no we had one in sixth (inaudible) okay like this is our first year we've had like a ton of field trips since like secondary,92,we have to see an opera at school this week right,86.0,like it was terrible,86.0,and I slept through the first act,86.0,it's kind of exciting okay,86.0
9849,3,1,00:30:45.300000,,so my pause filler my dad and I just went up for a little bit,x,,,,,my dad umm my dad and I just went up for a little bit,92,my dad umm my dad and I just went up for a little bit,92.0,apparently planning a trip for Europe for three years and they're going to travel to like Paris and Italy and all these different places in Europe and it's going to be really nice,86.0,my grandparents go up every year,86.0,for a few months so my,86.0
14827,6,2,00:30:52.100000,but now you get to tutor me because I'm stupid,,x,,,,,but now you get to tutor me cuz I'm stupid,93,I don't want some,86.0,I'm not even hungry I'm tired,86.0,I had a milkshake,86.0,it just makes you fat,86.0
15274,6,2,00:55:13.700000,I only know one person going to like,,,,x,,,I only know one person going who I like,93,like if I were against the school just like a black Star Wars voucher,86.0,I would get yelled at,86.0,like I'm shocked that Winchester accepted me because I've gotten so many points,86.0,and I'm also bad and I get really bad grades so I don't understand how they will accept me,86.0
11596,4,2,00:28:12.600000,all right pause filler thatÀ_s actually much nicer fraction than everything else,,,,,,x,all right pause filler that's actually much nicer fraction than everything else,93,add all that up,86.0,oh so that looks really bad,86.0,or pause filler you move that,86.0,but you have the actual ones,49.0
32,10,1,00:02:33.400000,,no I always liked to see pause filler if people have the same teachers with me,x,,,,,I always liked to see pause filler if people have the same teachers with me,93,exactly because before that I was home schooled so it's like it's not exactly cyber school but its still similar,86.0,yeah I think I just did it because,86.0,I don't know,86.0,I feel like (inaudible),86.0
10164,3,1,00:54:07.700000,,gosh you're good at this,,,,x,,gosh you are ggod at this,94,gosh you are ggod at this,94.0,good bye,86.0,good bye,86.0,yeah sure,50.0
13801,6,1,00:06:24.400000,I didn't really know I was signing up to do math problems that I did for a homework,,x,,,,,I didn't realize I was signing up to do math problems that I did for a homework,94,we're getting paid forty bucks for ninety minutes,86.0,I think that�s under minimum (inaudible),86.0,or that is minimum wage,86.0,an hour and a half,86.0
14227,6,1,00:33:58.500000,,I kind of wish they got paid more but,x,,,,,I kind of wish we got paid more but,94,and when I asked her why,86.0,she said she didn't want us to get too excited and like start doing things,42.0,that would be so nice,34.0,yeah,15.0
72,10,1,00:04:34.900000,I've never used Skype ever (laughter),,x,,,,,I've never used Skype ever (laughter),95,I don't know,86.0,yup,40.0,I remember (inaudible) just about it,39.0,the screen of destiny (laughter),39.0
1080,10,2,00:07:17.700000,yeah I'm pretty slow at it (laughter),,x,,,,,yeah I'm pretty slow at it (laughter),95,yeah and I am pretty bad at typing anyway so,86.0,and like way (inaudible),37.0,(laughter),32.0,(laughter),32.0
17208,8,1,00:18:00.500000,okay so this one is also pretty easy,,,,,,x,this one is also pretty easy,95,so that's good,86.0,next question okay,86.0,that is,86.0,great okay,86.0
16843,7,2,00:42:20.100000,,it's going to be pause filler it's just going to be y now,,,,,x,it's going to be pause filler it's just going to be y now,95,no you have to divide,86.0,so then what we're going to so we have negative three equals eighty pause filler y,86.0,so what's it all equal,86.0,but I'll just explain it so,86.0
16983,7,2,00:50:21.800000,,(laughter) I'll draw another fancy k,,,x,,,(laughter) I'll draw another fancy k,95,all right so then fifteen point five equals k,86.0,let me figure out what we have to do for this just so I can pause filler,86.0,how do I get,86.0,oh or not,57.0
620,10,1,00:37:00.100000,,pause filler it's not working for me either,,,x,,,pause filler it's not working for me either,95,yeah it might do that if you're hovering over it I'm not sure,86.0,because I could kind of hear you working it out,86.0,just ignore it yeah,86.0,okay wait a minute I'm sorry,43.0
17408,8,1,00:47:54.100000,,mm-hmm yesterday is the first day okay sure okay,,,x,,,mm-hmm yesterday is the first day,95,(inaudible) yesterday,86.0,so I was there,45.0,let's go get them,42.0,I didn't get a full season pay,41.0
16987,7,2,00:50:27.400000,,let me figure out what we have to do for this just so I can pause filler,,,x,,x,let me figure out what we have to do for this just so I can pause filler,95,look at me,86.0,this is my short this is me as a boy,86.0,what was that,86.0,(laughter) I'll draw another fancy k,86.0
915,10,1,00:53:50.300000,,see you're much better at computation,,,x,x,,see you're much better at computation I'm so slow at it,95,she did a lot better than me,52.0,there we go okay so you said forty-two,43.0,because we already get with the minus,43.0,well yeah it's just fourteen x,42.0
151,10,1,00:09:38.200000,just solve the problem (laughter),,,,x,,,just solve the problem (laughter),95,pause filler so do you see the x minus x equals thirteen,86.0,what I know and do for this is just do the opposite (laughter),86.0,so like if you do x minus six this is thirteen plus six that's the answer,86.0,it's just a thirteen plus six I mean,86.0
16772,7,2,00:38:33.900000,,I think you're supposed to be black,,,x,,x,well I think you're supposed to be black,95,then it will be one divided by twenty-five which is that,86.0,I have two left,86.0,what do you do,86.0,you just have to add,86.0
17025,7,2,00:52:32.800000,,and it was just like I was like what did I do okay pause filler,,,x,,x,and it was just like I was like what did I do okay pause filler,95,do you get that,86.0,we just have to make y alone,86.0,do you get that,86.0,so oh my god you just disappeared,86.0
522,10,1,00:31:44.900000,my eyes twitches sometimes,,x,,,,,my eyes twitches sometimes I noticed,95,my bangs are long,86.0,this is like the one eye sort of twitch (inaudible),51.0,I don't know why my eye keep twitching,48.0,this is like standing in a room with somebody you know it's just like what do I do,45.0
883,10,1,00:51:38.800000,,it was confusing (laughter) okay,,,x,,,it was confusing (laughter) okay,95,okay,90.0,okay you're much better at this than me,86.0,okay and that's being subtracted which means (inaudible),86.0,it's easy to do,49.0
605,10,1,00:36:21.200000,,yeah it might do that if you're hovering over it,,,x,,,yeah it might do that if you're hovering over it I'm not sure,95,because it just makes it easier,86.0,so I don't want to just do it,86.0,yeah,60.0,I'm pretty sure you have the right idea,54.0
1504,10,2,00:37:32.600000,no that's fine (laughter) ah oh my goodness gracious learn how to write so a big two,,,,x,,,no that's fine (laughter) ah oh my goodness gracious learn how to write so a big two,95,this is the second time in a row,86.0,this is the second time in a row,86.0,so that's a one (laughter),86.0,three divided by three equals one so,86.0
1205,10,2,00:17:28.900000,oh my god it's going to be long (laughter) forty,,,,x,,,oh my god it's going to be long (laughter) forty,95,wait you have forty-nine,86.0,because it will go,86.0,yeah yeah,43.0,how did you get,42.0
493,10,1,00:30:20.000000,,oh I'm like bad at math,x,,,,,like I'm bad at math,95,oh I'm like bad at math this isn't going to be good and then I thought well actually it's probably help to,90.0,I don't want to eat mine in front of you then,86.0,I thought it would be like a stuff I didn't know,86.0,but I knew it,86.0
291,10,1,00:17:38.000000,,okay pause filler I can't tell if I'm in the frame,,,x,,,okay pause filler I can't tell if I'm in the frame,95,so do we do it right so far at least the dividing by forty-four,86.0,okay okay so forty-four plus forty-four it's eighty-eight and then eighty-eight,86.0,okay,60.0,okay,60.0
746,10,1,00:44:02.300000,,but sometimes like pause filler you can if you just follow like the rules,,,x,,,but sometimes like pause filler you can if you just follow like the rules,95,yeah I just don't want to watch this and (inaudible) and be like oh that girl didn't teach her anything,86.0,she just did all the work all right,86.0,yeah so the entire thing is like,86.0,and you understand the rules gonna help but we all have different ways of thinking like some people are just like this is the rule and you follow this,86.0
1474,10,2,00:35:43.200000,(laughter) my seventeen looks like a triangle,,,,x,,,(laughter) my seventeen looks like a triangle,95,goodbye seventeen you will not be missed now sixty-three plus seventeen,86.0,that looks like an hourglass,58.0,so now I got to get rid of the minus three so minus three divided by minus three,40.0,what happened with this drawing,37.0
1460,10,2,00:34:42.300000,,okay I think I know what to do (laughter),,,x,,,okay I think I know what to do (laughter),95,you're like that one was easier than the one I got from this problem,86.0,because seventy is being subtracted and same to the opposite operation,86.0,so I think of it so,86.0,that doesn't look weird,48.0
17332,8,1,00:37:25.400000,yeah that's what I'm doing (inaudible),,,,x,,,yeah that's what I'm doing,95,that's going okay so let's see,53.0,(inaudible) fifteen equals eight,52.0,subtract (inaudible) equals negative nine,48.0,oh no this is,41.0
17074,8,1,00:01:08.600000,I don't know a ton of people yeah,,x,,,,,I don't know a ton of people,95,I don't know,90.0,alright so hi I'm Joey,86.0,I go to Dice,86.0,I don't think so,86.0
17177,8,1,00:14:55.200000,and so basically when you're working with these you want to pause filler you pause filler,,,,,,x,and so basically when you're working with these you want to pause filler you pause filler,95,it just matters where you pause filler,86.0,oops sorry you want to get this,86.0,oops you want to get this over here,86.0,and you want to get that fifteen over here,86.0
1453,10,2,00:34:17.300000,it's a long (inaudible) one times negative the other number so twenty-five pause filler the horrible thumb,,,,x,,,it's a long (inaudible) one times negative the other number so twenty-five pause filler the horrible thumb,95,and then twenty-five times one,86.0,that's not a one,86.0,that one is a drunk,86.0,it's kind of like giving a thumbs up,86.0
271,10,1,00:16:07.100000,,wait there's a bunch of other tools,,,x,,,I don't know wait there's a bunch of other tools,95,yeah it's kind of hard,86.0,hey that's forty-four,86.0,to stay for later,50.0,but we weren't told what those are,49.0
276,10,1,00:16:20.900000,,(inaudible) I'm pretty sure they want us to do it on the screen,,,x,,,pause filler I don't know (inaudible) I'm pretty sure they want us to do it on the screen,95,yeah you got to do it,86.0,to stay for later,86.0,ya I will think on it too,86.0,two twenty,51.0
1363,10,2,00:27:31.300000,,and so yeah so pause filler my dog has to like get a surgery and like it had to fix it,x,,,,,and so yeah so pause filler my dog has to like get a surgery and like it had to fix it,95,my dog has,90.0,but my sister has,86.0,and my mom has but not me,86.0,my dog when we brought her dog,86.0
880,10,1,00:51:33.600000,,yeah I just didn't know,,,x,,,I just didn't know,95,yeah,90.0,yeah,90.0,like when you were tutoring me I didn't know if I just do the work,86.0,well I'm recently doing like take the seven off real quick you do pause filler one hundred minus sixty-five,86.0
17253,8,1,00:22:30.300000,so who knows maybe for someone else there another time,,,,x,,x,maybe for someone else there another time,95,so who knows,90.0,or maybe we're supposed to,86.0,they just told me to go to eleven and then stop,52.0,actually I think we're supposed to come out and actually get them,43.0
9322,3,1,00:00:43.600000,this is weird I think,,x,,,,,this is weird I,95,this is weird I,95.0,wait okay we go no no okay that's weird,86.0,it's weird why is it okay because we hit super big huh,86.0,because the undo button is not working over here,86.0
16692,7,2,00:34:20.800000,,just like shake off the sugar stuff okay pause filler,,,x,,x,just like shake off the sugar stuff okay pause filler,95,like shake them,86.0,shake them,86.0,okay all right,86.0,okay so,86.0
11220,4,1,00:39:19.100000,,I had one math teacher who was just pause filler crazy,,,x,,,I had one math teacher who was just pause filler crazy,95,yeah yeah I I see,86.0,and skiers because it was for lines so twenty-three minus fifteen,86.0,yup that's it,46.0,yeah the pen's a little weird to use,42.0
11308,4,1,00:56:05.200000,,yeah I hear it because of the microphone pause filler,,,x,,,yeah I hear it because of the microphone pause filler,95,,0.0,,0.0,,0.0,,0.0
11324,4,1,00:59:01.000000,,(laughter) yeah I know because my pen was near the bottom of the screen,,,x,,,(laughter) yeah I know because my pen was near the bottom of the screen,95,I accidentally opened Windows,86.0,there we go no go (sfx),48.0,see ya,40.0,,0.0
11369,4,2,00:10:36.900000,pause filler yeah I think it's a hundred and fourteen,,,,,,x,pause filler yeah I think it's a hundred and fourteen,95,(inaudible) fifty-seven,45.0,pause filler and now you have two thirds,43.0,pause filler you add eighteen you add eighteen,42.0,so times y equals negative one,41.0
11407,4,2,00:13:39.700000,I yeah I forget stuff (laughter),,,,x,,,I yeah I forget stuff (laughter),95,yeah,90.0,pause filler I think it's five hundred fourteen and a half,86.0,oh yeah,86.0,okay yeah,86.0
11412,4,2,00:13:48.500000,oh I just went to the next page (laughter),,,,x,,,oh I just went to the next page (laughter),95,pause filler I think it's five hundred fourteen and a half,86.0,oh yeah,86.0,I want to just multiply by the variables and get rid of them,86.0,minus sixty-one equals twenty-five because you subtract the y from both sides,86.0
11433,4,2,00:14:50.200000,pause filler tap tap tap tap tap tap tap tap tap tap,,,,x,,,pause filler tap tap tap tap tap tap tap tap tap tap,95,okay that's yeah,57.0,it's not in,38.0,oh I bet yeah you move the sixty-one first,35.0,you get rid of that y,34.0
11901,5,1,00:06:43.800000,,I don't understand why it's a big deal (laughter),x,,,,,I don't understand why it's a big deal (laughter),95,I was going to her house,86.0,and I saw her computer,86.0,pause filler I was,86.0,and then somebody found out I like watching Japanese shows,86.0
11922,5,1,00:09:06.100000,all right so basically pause filler all right so pause filler you see this problem here,,,,,,x,all right so basically pause filler all right so pause filler you see this problem here,95,all right,90.0,all right so basically,90.0,all right roger that,86.0,all right so pause filler ding it,86.0
12085,5,1,00:18:01.100000,all right so basically what you do is that you'd say x equals five because pause filler the two twenty is gone,,,,,,x,all right so basically what you do is that you'd say x equals five because pause filler the two twenty is gone,95,then we go into that,86.0,yeah you're correct,86.0,and then the forty-four is gone,86.0,so you just have to leave it at five so,86.0
12096,5,1,00:18:28.900000,well I don't think that did anything I hope (laughter),,,,,,x,well I don't think that did anything I hope (laughter),95,then we go into that,86.0,all right so basically what you do is that you'd say x equals five because pause filler the two twenty is gone,86.0,all right pause filler if you saw that that's just what I'm clarifying pause filler people CMU so,86.0,oh I don't want to double-click,50.0
12139,5,1,00:20:59.000000,so pause filler might pause filler be a bit difficult,,,,,,x,might be a bit difficult,95,yeah so just I mean it will take a while because we're riding on this thing,86.0,so,60.0,all right,57.0,which is actually pretty difficult,54.0
12145,5,1,00:21:20.300000,,pause filler well for me what I would do is that I would you know do the problem,,,,,x,pause filler well for me what I would do is that I would you know do the problem,95,oh you got to be kidding me,86.0,so you have to figure out what number it is,86.0,all right I'm going to wing it here,86.0,and see where thirteen times five gets me,86.0
12270,5,1,00:28:08.700000,all right so pause filler this one is a bit easier I guess,,,,,,x,this one is a bit easier I guess,95,thank you CMU all right,86.0,that is terrifying,86.0,alright so,86.0,so take note I said I guess,86.0
12322,5,1,00:31:59.700000,pause filler n and it has the picture with dinosaur that I drew in two seconds,,x,,,,,pause filler n and it has the picture with dinosaur that I drew in two seconds,95,and they don't have the mouses turned on,86.0,so you can't I don't know,86.0,I know I'm used to using my mouse,86.0,so and I'm good at drawing with my mouse,86.0
12337,5,1,00:32:58.300000,oh pause filler I don't really have a schedule,,x,,,,,oh pause filler I don't really have a schedule,95,oh my gosh,86.0,are you the really small like really really really small YouTuber,86.0,but I guess you could say my videos are a bit vulgar sometimes,86.0,or I just make a bunch of random videos when I don't feel like doing anything so because I have like no blocks from my computer,86.0
12343,5,1,00:33:30.500000,yeah pause filler I basically I took a clip from the Elder Scrolls 4 of the imperial guard,,x,,,,x,yeah pause filler I basically I took a clip from the Elder Scrolls 4 of the imperial guard,95,oh pause filler I don't really have a schedule,86.0,like basically I just play like random games,86.0,or I just make a bunch of random videos when I don't feel like doing anything so because I have like no blocks from my computer,86.0,and he has the funniest dialogue ever,86.0
12356,5,1,00:34:15.200000,,pause filler I'm going to find that channel when I get home,x,,,,,pause filler I'm going to find that channel when I get home,95,I found it on Google,86.0,someone did like pause filler an animated drawing of a Titan from a show and stuff like that,86.0,but then the last name is S-P-R-E-N-K-E-L,46.0,pause filler I did change my profile picture,46.0
12357,5,1,00:34:18.000000,yeah so pause filler yours is Charlie Sprenkel,,,x,,,,yeah so pause filler yours is Charlie Sprenkel,95,and basically what I did and what I did is that I amplified it,86.0,I'm basically what happens is that it just like really loud,86.0,what is it,86.0,oh yeah,86.0
12389,5,1,00:36:14.700000,all right pause filler you have to teach me how to use this problem because I have no idea what I'm doing,,x,,,,,all right pause filler you have to teach me how to use this problem because I have no idea what I'm doing,95,yeah because I was closing something up there,86.0,all right so I'm going to get everything,86.0,I'm good (laughter),86.0,see you later,86.0
12794,5,2,00:01:26.700000,yeah it was only because I pause filler basically there's this video of this kid who was just banned from like a game that I play,,,,,,x,yeah it was only because I pause filler basically there's this video of this kid who was just banned from like a game that I play,95,and I just started on this script,86.0,and it's going to be pretty good,86.0,yeah if it gets like a million views I'm going to be so happy,86.0,yeah that's a lot,86.0
12833,5,2,00:04:06.800000,yeah like I figured out that pause filler ranting about a bunch of pause filler random people actually works really well,,,,,,x,yeah like I figured out that pause filler ranting about a bunch of pause filler random people actually works really well,95,pause filler so I just hit three thousand views on my channel,86.0,so it's working on pretty well for me,86.0,and I have thirty-two subscribers,86.0,something that everyone likes which is,86.0
12939,5,2,00:12:37.900000,and like I was (laughter) like it was like I was talking to my dad like the Uber that we had,,,,x,,,and like I was (laughter) like it was like I was talking to my dad like the Uber that we had,95,and at that opera show it was really long,86.0,so I was really tired and,86.0,no I went to an opera with my class because I had to,86.0,and I was up until twelve thirty,86.0
16747,7,2,00:37:30.900000,,okay (laughter) in fact it's actually not that sour,,,x,,x,okay (laughter) in fact it's actually not that sour,95,like I'm moving like is it,86.0,yeah I don't know okay,86.0,it's the sour stuff,86.0,but okay so if we divide each side by twenty-five so because then what will happen to this side,86.0
12949,5,2,00:13:22.300000,we saw a bunch of police officers (laughter),,,,x,,,we saw a bunch of police officers (laughter),95,and like I was (laughter) like it was like I was talking to my dad like the Uber that we had,86.0,he said we had these people in like full costumes in our pause filler in our cars,86.0,so once we and dad were going to another street corner so we could easily be picked up like,86.0,pause filler there's just a bunch of police cars over here,86.0
