"Temps de départ - hh:mm:ss.ms","temps de fin - hh:mm:ss.ms","Durée - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:42:31.100,00:42:33.000,00:00:01.900,,,"oh that's really strong",,
00:42:33.000,00:42:35.200,00:00:02.200,,,"okay there we go",,
00:42:35.200,00:42:38.974,00:00:03.774,,,"so now so if we add y on both sides what do we have",,
00:42:41.291,00:42:48.900,00:00:07.609,,,,"pause filler so well this is zero",
00:42:48.900,00:42:49.101,00:00:00.201,,,"yeah that would cancel out","pause filler so well this is zero",
00:42:49.101,00:42:51.100,00:00:01.999,,,"yeah that would cancel out",,
00:42:51.600,00:42:54.100,00:00:02.500,,,,"and this is eighteen y",
00:42:54.400,00:42:55.544,00:00:01.144,,,"so no",,
00:42:57.303,00:42:57.500,00:00:00.197,,,"you won't need the",,
00:42:57.500,00:42:58.200,00:00:00.700,,,"you won't need the","how",
00:42:58.200,00:42:58.595,00:00:00.395,,,"you won't need the",,
00:42:58.595,00:43:03.000,00:00:04.405,,,"you wouldn't need the eighteen because you would add by each side",,
00:43:03.000,00:43:06.000,00:00:03.000,,,"so you would add y to each side of the equation",,
00:43:06.000,00:43:06.800,00:00:00.800,,,"so you would add y to",,
00:43:06.800,00:43:07.400,00:00:00.600,,,,"oh twenty-three",
00:43:07.400,00:43:09.000,00:00:01.600,,,,"it's twenty-three y",
00:43:09.500,00:43:10.700,00:00:01.200,,,"twenty-three plus y yeah",,
00:43:12.500,00:43:19.600,00:00:07.100,,,"so now it's going to be eighteen because it equals twenty-three plus y",,
00:43:23.500,00:43:24.100,00:00:00.600,,,"and then",,
00:43:27.200,00:43:31.278,00:00:04.078,,,"and then what do we do pause filler it's",,
00:43:31.400,00:43:32.700,00:00:01.300,,,,"that was weird",
00:43:33.400,00:43:34.000,00:00:00.600,,,"what",,
00:43:34.000,00:43:38.300,00:00:04.300,,,,"someone was staring at me it was really scary",
00:43:38.300,00:43:48.481,00:00:10.181,,,"okay (laughter) so now we have that",,
00:43:51.177,00:43:53.000,00:00:01.823,,,"we can cancel out the twenty-three",,
00:43:53.000,00:43:57.500,00:00:04.500,,,"and then so we have y alone by subtracting twenty-three from each side",,
00:43:57.500,00:44:00.100,00:00:02.600,,,"so do that and then yeah",,
00:44:00.300,00:44:03.200,00:00:02.900,,,"so what's eighteen minus twenty-three",,
00:44:05.190,00:44:05.405,00:00:00.215,,,,"eight",
00:44:07.329,00:44:09.152,00:00:01.823,,,"here let's just like write it out",,
00:44:20.100,00:44:21.500,00:00:01.400,,,"yeah eighteen minus twenty",,
00:44:21.500,00:44:22.700,00:00:01.200,,,"it's going to be negative",,
00:44:24.400,00:44:26.600,00:00:02.200,,,,"I hate negative numbers",
00:44:26.900,00:44:29.177,00:00:02.277,,,,"they're so confusing",
00:44:45.265,00:44:47.200,00:00:01.935,,,,"huh I did a circle",
00:44:47.500,00:44:47.900,00:00:00.400,,,"okay",,
00:44:48.100,00:44:49.100,00:00:01.000,,,,"sort of (laughter)",
00:44:50.645,00:44:56.900,00:00:06.255,,,"so then it would be negative fifteen equals y right",,
00:44:57.600,00:44:58.000,00:00:00.400,,,,"yeah",
00:44:58.600,00:45:05.700,00:00:07.100,,,"because if we did eighteen minus twenty-three because we canceled out the twenty-three by subtracting twenty-three from it so then it's just",,
00:45:05.800,00:45:07.200,00:00:01.400,,,,"oh I figured it out",
00:45:07.400,00:45:12.500,00:00:05.100,,,"yeah and then it's just negative fifteen equals y right",,
00:45:14.800,00:45:16.300,00:00:01.500,,,,"when you press it the button",
00:45:16.300,00:45:17.700,00:00:01.400,,,,"it draws it",
00:45:19.700,00:45:20.300,00:00:00.600,,,"what do you mean",,
00:45:20.500,00:45:25.500,00:00:05.000,,,,"press field not the small part of it but the larger",
00:45:26.700,00:45:30.400,00:00:03.700,,,,"no the button the bigger yeah",
00:45:30.400,00:45:33.700,00:00:03.300,,,,"and then start drawing without touching it",
00:45:33.700,00:45:33.900,00:00:00.200,,,"wait",,
00:45:35.400,00:45:35.900,00:00:00.500,,,"wait",,
00:45:42.303,00:45:42.900,00:00:00.597,,,"I see that",,
00:45:42.900,00:45:44.126,00:00:01.226,,,"it like makes really little lines though",,
00:45:48.063,00:45:48.354,00:00:00.291,,,"oh",,
00:45:50.600,00:45:51.100,00:00:00.500,,,,"yeah",
00:45:51.300,00:45:52.000,00:00:00.700,,,"that's cool",,
00:45:56.000,00:46:00.500,00:00:04.500,,,,"I just tapped it",
00:46:00.500,00:46:04.400,00:00:03.900,,,,"that's really weird",
00:46:05.300,00:46:10.100,00:00:04.800,,,,"okay your face just got really big",
00:46:10.200,00:46:11.900,00:00:01.700,,,"really (laughter)",,
00:46:11.900,00:46:12.100,00:00:00.200,,,,"yeah",
00:46:12.200,00:46:17.000,00:00:04.800,,,"ops okay pause filler I just pressed actually pressing it",,
00:46:17.000,00:46:19.100,00:00:02.100,,,"okay how do we go to the next thing",,
00:46:20.500,00:46:23.200,00:00:02.700,,,,"don't you see the arrows that I've got on the page",
00:46:23.700,00:46:25.900,00:00:02.200,,,"oh I did it okay",,
00:46:26.800,00:46:27.100,00:00:00.300,,,"now",,
00:46:32.700,00:46:34.800,00:00:02.100,,,"we got to do this",,
00:46:36.700,00:46:37.600,00:00:00.900,,,,"yes",
00:46:37.800,00:46:43.200,00:00:05.400,,,"start by (laughter) adding k",,
00:46:44.455,00:46:48.860,00:00:04.405,,,"try adding k to each side of the equation",,
00:46:48.900,00:46:51.600,00:00:02.700,,,,"that's pretty much getting rid of the ks",
00:46:51.600,00:46:54.200,00:00:02.600,,,"well if you add k to this side",,
00:46:55.000,00:46:56.400,00:00:01.400,,,"and you add k to this side",,
00:46:57.700,00:46:59.300,00:00:01.600,,,"this will be canceled out",,
00:46:59.300,00:47:00.000,00:00:00.700,,,"and just be zero",,
00:47:00.000,00:47:05.600,00:00:05.600,,,"so it will be negative fourteen equals thirty-six",,
00:47:05.600,00:47:09.400,00:00:03.800,,,"and then since we add another k to the k it would be plus two k",,
00:47:09.400,00:47:11.300,00:00:01.900,,,"do you get that",,
00:47:14.600,00:47:17.900,00:00:03.300,,,,"what am I doing",
00:47:17.900,00:47:20.300,00:00:02.400,,,,"this is really scary",
00:47:21.100,00:47:23.700,00:00:02.600,,,"what did you do",,
00:47:23.700,00:47:27.100,00:00:03.400,,,,"I just made you big big",
00:47:27.400,00:47:28.600,00:00:01.200,,,,"I just full screened you",
00:47:30.139,00:47:30.962,00:00:00.823,,,,"it was weird",
00:47:31.800,00:47:32.400,00:00:00.600,,,"what do you mean",,
00:47:34.900,00:47:38.800,00:00:03.900,,,"there's like two videos of you",,
00:47:39.000,00:47:40.000,00:00:01.000,,,"there's like one right here",,
00:47:40.000,00:47:41.400,00:00:01.400,,,"and then there's like one up more",,
00:47:41.400,00:47:43.000,00:00:01.600,,,"like a little one",,
00:47:43.500,00:47:45.000,00:00:01.500,,,"because there's just like that",,
00:47:46.000,00:47:47.000,00:00:01.000,,,"(laughter)",,
00:47:47.500,00:47:48.700,00:00:01.200,,,"and we had two little videos",,
00:47:51.139,00:47:52.430,00:00:01.291,,,"how did you do that",,
00:47:54.300,00:48:02.544,00:00:08.244,,,,"this damps (laughter)",
00:48:04.430,00:48:05.300,00:00:00.870,,,"where's my star",,
00:48:08.000,00:48:09.582,00:00:01.582,,,"all right we need to get on track",,
00:48:14.800,00:48:15.000,00:00:00.200,,,"so",,
00:48:19.500,00:48:20.500,00:00:01.000,,,"oh which one is that",,
00:48:21.607,00:48:22.962,00:00:01.355,,,"I'm like checking it",,
00:48:27.000,00:48:27.200,00:00:00.200,,,"okay",,
00:48:31.400,00:48:33.800,00:00:02.400,,,"this is supposed to be black I think right",,
00:48:34.721,00:48:36.316,00:00:01.595,,,,"I have no idea",
00:48:37.810,00:48:38.379,00:00:00.569,,,"I think it is",,
00:48:38.379,00:48:39.303,00:00:00.924,,,"he said this was supposed to be black",,
00:48:39.303,00:48:42.800,00:00:03.497,,,"I think yeah because mine is supposed to be green because I'm like the tutor",,
00:48:42.800,00:48:44.500,00:00:01.700,,,"and yours is supposed to be black",,
00:48:45.900,00:48:47.800,00:00:01.900,,,,"black is so boring",
00:48:50.215,00:48:51.329,00:00:01.114,,,,"it's like black",
00:48:53.898,00:48:56.962,00:00:03.064,,,,"like this pen it's not colorful",
00:48:57.000,00:48:59.126,00:00:02.126,,,,"it's just (sfx)",
00:48:59.139,00:49:04.367,00:00:05.228,,,"(laughter) you need to color the pen",,
00:49:04.367,00:49:08.000,00:00:03.633,,,"to make it colorful yeah",,
00:49:09.329,00:49:15.278,00:00:05.949,,,"all right so when we added k to each side",,
00:49:16.038,00:49:17.354,00:00:01.316,,,,"this is how it look like",
00:49:20.190,00:49:21.050,00:00:00.860,,,"a comma",,
00:49:22.848,00:49:25.000,00:00:02.152,,,,"I think it's too big to be a comma",
00:49:27.417,00:49:29.101,00:00:01.684,,,,"probably it came",
00:49:30.100,00:49:35.100,00:00:05.000,,,"yeah all right back on topic",,
00:49:35.600,00:49:37.400,00:00:01.800,,,"if we add k",,
00:49:40.200,00:49:53.900,00:00:13.700,,,"(laughter) if we added k to each side the left side of the equation would be fourteen negative fourteen because the other side cancels out because the ks cancel out",,
00:49:54.700,00:49:56.700,00:00:02.000,,,"and in the other side would be thirty-six",,
00:49:56.900,00:50:00.000,00:00:03.100,,,"and then plus two k now that we added another k",,
00:50:00.500,00:50:02.700,00:00:02.200,,,"I don't know what that is",,
00:50:03.700,00:50:08.822,00:00:05.122,,,"wait I don't know what that is but yeah",,
00:50:18.000,00:50:19.797,00:00:01.797,,,,"only chair",
00:50:24.038,00:50:27.759,00:00:03.721,,,"all right so I hear my voice echoing",,
00:50:29.200,00:50:31.500,00:00:02.300,,,,"I hear it too",
00:50:32.100,00:50:40.531,00:00:08.431,,,"all right so now that we have the equation simplify down to a negative fourteen equals thirty-six plus two k",,
00:50:43.500,00:50:45.600,00:00:02.100,,,"one minute",,
00:50:45.800,00:50:47.582,00:00:01.782,,,"one minute",,
00:50:56.700,00:50:57.800,00:00:01.100,,,"this is confusing",,
00:51:00.600,00:51:02.481,00:00:01.881,,,"okay now what we want to do",,
00:51:04.683,00:51:05.050,00:00:00.367,,,"is",,
00:51:15.481,00:51:17.354,00:00:01.873,,,,"(inaudible) yourself",
00:51:18.000,00:51:18.600,00:00:00.600,,,"no",,
00:51:20.772,00:51:22.000,00:00:01.228,,,"what do you mean",,
00:51:22.700,00:51:25.300,00:00:02.600,,,,"because you were just never mind",
00:51:26.900,00:51:28.200,00:00:01.300,,,"okay well",,
00:51:32.100,00:51:33.000,00:00:00.900,,,"okay well",,
00:51:35.190,00:51:35.200,00:00:00.010,,,,"whoops",
00:51:35.200,00:51:35.683,00:00:00.483,,,"oh no okay I know what to do","whoops",
00:51:35.683,00:51:41.633,00:00:05.950,,,"oh no okay I know what to do",,
00:51:43.038,00:51:46.500,00:00:03.462,,,"now what we got to do is",,
00:51:48.500,00:51:52.200,00:00:03.700,,,"subtract thirty-six from each side",,
00:51:54.300,00:52:00.300,00:00:06.000,,,"so then we have so we subtract thirty-six from each side of the equation",,
00:52:00.700,00:52:04.500,00:00:03.800,,,"we'll just have two k right here",,
00:52:05.600,00:52:14.400,00:00:08.800,,,"and then figure out what negative fourteen minus thirty-one is or thirty-six because then that would be the answer pretty much",,
00:52:14.600,00:52:17.500,00:00:02.900,,,"and (inaudible) too but yeah",,
00:52:17.500,00:52:20.600,00:00:03.100,,,,"why are you dropping your Skittles",
00:52:21.600,00:52:22.000,00:00:00.400,,,"huh",,
00:52:22.900,00:52:25.300,00:00:02.400,,,,"there are Skittles on the table",
00:52:26.800,00:52:29.700,00:00:02.900,,,"yeah but wouldn't like on the table",,
00:52:30.200,00:52:30.800,00:00:00.600,,,,"yeah",
00:52:32.164,00:52:34.341,00:00:02.177,,,"not like on the table but in the bag",,
00:52:35.800,00:52:37.700,00:00:01.900,,,,"I heard them go on the table",
00:52:39.000,00:52:39.200,00:00:00.200,,,"no",,
00:52:39.200,00:52:41.300,00:00:02.100,,,"I heard just me getting them out of the bag",,
00:52:41.900,00:52:43.500,00:00:01.600,,,"does that sound like that right now",,
00:52:46.800,00:52:47.835,00:00:01.035,,,,"okay there it is",
00:52:47.835,00:52:48.900,00:00:01.065,,,"yeah I'm just shaking the bag on the table","okay there it is",
00:52:48.900,00:52:49.848,00:00:00.948,,,"yeah I'm just shaking the bag on the table",,
00:52:52.012,00:52:56.544,00:00:04.532,,,"okay did you a negative fourteen minus thirty-one",,
00:52:57.100,00:52:57.900,00:00:00.800,,,,"nope",
00:52:58.000,00:52:59.800,00:00:01.800,,,"all right try to do that",,
00:53:00.600,00:53:02.300,00:00:01.700,,,"and then the equation will almost be done",,
00:53:05.000,00:53:06.300,00:00:01.300,,,,"negative thirteen minus",
00:53:06.300,00:53:07.200,00:00:00.900,,,"or negative fourteen",,
00:53:07.800,00:53:13.900,00:00:06.100,,,,"okay thirty-one",
00:53:13.900,00:53:15.200,00:00:01.300,,,"minus thirty-six",,
00:53:16.000,00:53:18.600,00:00:02.600,,,"my writing is like almost up",,
00:53:32.300,00:53:33.200,00:00:00.900,,,,"wait no sorry",
00:53:33.200,00:53:34.000,00:00:00.800,,,,"that's a nine",
00:53:34.000,00:53:36.600,00:00:02.600,,,"yeah there",,
00:53:39.025,00:53:40.633,00:00:01.608,,,,"I hate when I do that",
00:53:43.000,00:53:45.100,00:00:02.100,,,"I think they're looking at the testings",,
00:53:46.900,00:53:47.500,00:00:00.600,,,"from earlier",,
00:53:48.721,00:53:50.215,00:00:01.494,,,"all right did you get it",,
00:53:51.100,00:53:55.860,00:00:04.760,,,,"no okay so let's see here",
00:54:04.101,00:54:05.700,00:00:01.599,,,"all right because when you get that",,
00:54:05.700,00:54:08.700,00:00:03.000,,,"then you just have to divide that by two",,
00:54:08.700,00:54:11.329,00:00:02.629,,,"and then the two k divided by oh",,
00:54:15.300,00:54:15.400,00:00:00.100,,,"oh",,
00:54:26.417,00:54:27.278,00:00:00.861,,,"this looks like the timer",,
00:54:28.200,00:54:31.800,00:00:03.600,,,,,"so you're done with the tutoring today"
00:54:31.800,00:54:32.200,00:00:00.400,,,,"what",
00:54:32.400,00:54:33.800,00:00:01.400,,,,,"you're done with the tutoring portion for today"
00:54:33.800,00:54:35.800,00:00:02.000,,,,,"you can take your headphones off"
00:54:36.000,00:54:38.000,00:00:02.000,,,,"we're done",
00:54:38.600,00:54:38.700,00:00:00.100,,,"oh",,
00:54:41.700,00:54:42.240,00:00:00.540,,,,,"and just go ahead"
00:54:42.240,00:54:42.962,00:00:00.722,,,"oh no",,"and just go ahead"
00:54:42.962,00:54:43.126,00:00:00.164,,,"oh no",,"and say goodbye and then"
00:54:43.126,00:54:44.860,00:00:01.734,,,,,"and say goodbye and then"
00:54:44.860,00:54:45.367,00:00:00.507,,,"bye",,"and say goodbye and then"
00:54:45.367,00:54:45.898,00:00:00.531,,,"bye",,
00:54:47.800,00:54:47.900,00:00:00.100,,,,"bye",
00:54:49.100,00:54:52.645,00:00:03.545,,,,,"and then end the call just hit the red the other button"
